year,make,Model,baseModel,cityE,combE,highwayE,drive,id,range,rangeCity,rangeHwy,UCity,UHighway,evMotor,trany,kWhpmCity,kWhpmComb,kWhpmHighway,co2pm
2025,Lucid,Air Pure RWD with 19 inch wheels,Air,22.61,23.14,23.79,Rear-Wheel Drive,48374,420,430,408,209.1,198.8,330 kW ACPM,Automatic (A1),0.2261,0.2314,0.2379,74.9736
2026,Lucid,Air Pure RWD with 19 inch wheels,Air,22.61,23.14,23.79,Rear-Wheel Drive,49969,420,430,408,209.1,198.8,330 kW ACPM,Automatic (A1),0.2261,0.2314,0.2379,74.9736
2023,Hyundai,Ioniq 6 Long range RWD (18 inch Wheels),Ioniq 6,21.63,23.57,27,Rear-Wheel Drive,46622,361,0,0,208.6,173.9,168 kW PMSM,Automatic (A1),0.2163,0.2357,0.27,76.3668
2021,Tesla,Model 3 Standard Range Plus RWD,Model 3,22.44,23.74,25.34,Rear-Wheel Drive,43821,263,277.5,234.7,201.2,178.2,198 kW AC 3-Phase,Automatic (A1),0.2244,0.2374,0.2534,76.9176
2020,Tesla,Model 3 Standard Range Plus,Model 3,22.71,23.98,25.53,Rear-Wheel Drive,42278,250,260.9,232.1,210.4,187.1,211 kW AC 3-Phase,Automatic (A1),0.2271,0.2398,0.2553,77.6952
2024,Hyundai,Ioniq 6 Long range RWD (18 inch Wheels),Ioniq 6,22,24,27,Rear-Wheel Drive,46957,361,390,325,208.6,173.9,168 kW PMSM,Automatic (A1),0.22,0.24,0.27,77.76
2023,Lucid,Air Pure AWD with 19 inch wheels,Air,23.99,24.06,24.05,All-Wheel Drive,46307,410,0,0,187.4,186.9,TBD,Automatic (A1),0.2399,0.2406,0.2405,77.9544
2023,Lucid,Air Touring AWD with 19 inch wheels,Air,23.99,24.06,24.05,All-Wheel Drive,46309,425,0,0,187.4,186.9,TBD,Automatic (A1),0.2399,0.2406,0.2405,77.9544
2026,Tesla,Model 3 Standard RWD,Model 3,22.95,24.3,25.96,Rear-Wheel Drive,50251,321,339,299,209.8,185.5,225 kW ACPM 3-Phase,Automatic (A1),0.2295,0.243,0.2596,78.732
2026,Tesla,Model Y Standard RWD (18in Wheels),Model Y,22.84,24.35,26.18,Rear-Wheel Drive,50040,321,341,297,210.8,183.9,228 and 243 kW ACPM 3-Phase,Automatic (A1),0.2284,0.2435,0.2618,78.894
